time,size,sex
0.0,1,M
15817.224347123518,35,M
16162.523903592853,139,M
1775.7799699353027,58,M
19664.228388765077,65,M
18381.671032728205,1338,M
10144.517750958528,51,M
19703.228217815995,5164,M
19631.756793264656,2042,M
19991.617740463666,1197,M
19659.405411601314,410,M
19604.19665025188,36,M
19997.450732737143,1422,M
19571.085635936848,1069,M
18032.400346580525,138,M
19957.611069953437,2729,M
19994.945591035223,1159,M
16438.31157940415,214,M
19606.73928933398,1338,M
19995.74981623407,1696,M
14940.793030849063,131,M
5501.619749045676,13,M
18360.802284231762,550,M
17070.476122516764,101,M
19969.296905934913,162,M
16491.71212072042,7,M
19821.655713063283,119,M
19987.499852234236,873,M
19999.335102011828,1067,M
19819.678537956614,1641,M
19336.076636140613,1443,M
17268.025798137627,102,M
19981.451810875787,1986,M
18954.650004949406,4004,M
4174.816352900767,17,M
14212.228862498714,24,M
19709.62274495193,2804,M
14868.30839517141,139,M
13438.825374228096,93,M
19598.30923668472,2182,M
19696.05950300584,969,M
4810.600767389401,55,M
19753.632259484843,58,M
19901.646194805213,352,M
19763.447595992428,363,M
19970.658171146373,2593,M
19932.16258104178,5952,M
18300.811503038232,262,M
14365.644687270395,55,M
19997.551908632708,3092,M
19446.47068396456,877,M
19998.181203216125,304,M
13058.249916701026,34,M
15431.752256651696,71,M
18245.514435408117,1153,M
19505.544091610765,1338,M
19226.62359319511,5398,M
15294.824692137738,15,M
19997.11801750425,4991,M
1164.8695925328548,2,M
12796.90965221149,64,M
2323.5256491981104,10,M
19954.39372755476,1956,M
19709.725845824632,472,M
19009.46156510206,248,M
10419.052399715454,51,M
19394.473235600984,1918,M
19110.163805621465,645,M
18394.430787596946,36,M
18380.218057698694,116,M
19943.92621981941,2099,M
18521.744632719918,220,M
18994.27183190888,504,M
19924.811091390733,21,M
18989.193049804475,4243,M
12058.123008304818,13,M
19368.970851310416,379,M
13138.545339601282,64,M
18659.84913185277,395,M
19980.407643993847,1627,M
19969.1690266297,3039,M
19899.584031655057,4403,M
17603.081723282598,652,M
3261.434800643961,93,M
16134.90835839825,15,M
17196.20356763615,245,M
19982.91965439217,6478,M
4311.1775812437,58,M
19770.868556164613,878,M
19972.47335756829,474,M
17301.03686117942,794,M
19364.56818984887,6361,M
17712.37737254279,1153,M
18136.620441738385,71,M
6066.881435116651,2,M
