time,size,sex
0.0,1,M
458.1017896682013,39,M
1415.475620327776,27,M
1218.4312332586906,5,M
1304.2810466957292,27,M
1975.9004117675668,246,M
616.2273666049805,14,M
1985.2257773470087,583,M
1887.9933656740297,227,M
1842.698657221544,131,M
225.10010164599984,19,M
1456.3417859885885,41,M
1939.4612008179715,388,M
1982.2706314200702,192,M
1743.2046828905727,184,M
1700.0724989463288,15,M
103.9201592325449,39,M
1881.4090063818578,3,M
1930.3344879475112,201,M
1781.5844245249014,69,M
1951.9667702330225,11,M
1872.8704583148103,32,M
1967.378204155419,105,M
1851.9059614191808,234,M
1446.6105373694038,39,M
1995.6206165233236,255,M
1884.1616430332563,627,M
1920.0893053376476,42,M
1980.6938475136135,131,M
1694.2560471431675,108,M
1963.7508200701152,452,M
1515.6941462643524,46,M
560.2510424135311,211,M
1969.599541775448,31,M
1941.2570418967143,572,M
829.3211552357521,268,M
1238.5752704856761,39,M
1610.6729009239295,77,M
1984.4476487779234,109,M
1992.2141818685034,440,M
1963.401914393658,128,M
1495.9831994486115,6,M
1954.2551642935773,327,M
1624.1485257395195,15,M
1269.3540541069012,211,M
130.316440372244,19,M
1885.132155209308,69,M
491.4390309844522,10,M
1998.7273186657176,166,M
1836.4661934571784,10,M
1961.976404692137,39,M
1917.0831833767345,616,M
1982.0955952393742,222,M
1994.9953741417494,357,M
1923.9362409838086,275,M
1786.9921848813763,4,M
242.27013986887295,19,M
1330.059261546922,25,M
1829.6544111312587,329,M
1772.3226389019069,77,M
1988.3516258122995,637,M
1069.0040645532722,409,M
1836.8483169199108,215,M
1125.4080350710244,27,M
1810.0965730843955,168,M
1534.9726237475688,30,M
1685.6803318214786,174,M
1841.0760501877362,189,M
1773.0578675058962,49,M
1744.3995245740257,276,M
536.2921706344679,15,M
1842.4370796862374,491,M
1915.337132466316,59,M
1512.6799217229243,25,M
1988.3154851886895,536,M
1950.762555087033,38,M
1974.865988031846,127,M
1868.934516436552,106,M
990.6878113795188,14,M
1951.5148352095212,418,M
1796.3990822718781,3,M
1902.284257674432,261,M
1961.7857702136857,55,M
1975.282296521553,93,M
1847.994185832574,41,M
1713.0893058398922,95,M
1210.122845122794,10,M
1584.1884809537992,613,M
1932.1161746721543,132,M
1985.3263900911206,51,M
1438.1414852659825,36,M
1524.4015173450387,7,M
1945.7367736689139,548,M
378.2066174684691,15,M
1986.909259816555,219,M
1924.9452076195334,585,M
942.7713005438454,14,M
1707.1680062304656,74,M
1939.3450706223557,477,M
1007.6419893756503,27,M
524.6551036328274,2,M
1934.3510905111382,37,M
1749.0670558390086,26,M
1738.3070300248867,49,M
1984.0671622719592,64,M
1859.3448104248773,650,M
1915.674727442987,210,M
1898.930168832054,95,M
844.1707185632791,5,M
1064.5667779754774,39,M
1989.3640678289476,572,M
1969.9368493642478,159,M
1999.398738775594,513,M
1762.088870012713,211,M
1991.7763024261346,419,M
1776.9861550844182,6,M
1965.2173347618645,41,M
743.8582261138149,268,M
1411.2776124223221,9,M
1888.2227209201208,2,M
1828.4677693945732,44,M
1760.5371197062068,18,M
1996.6037272553256,436,M
860.713234265854,27,M
1073.834127213949,19,M
1978.7049229367317,201,M
1995.8236633800827,149,M
1972.7021201612663,374,M
1924.4617419403182,39,M
1928.2486784507764,190,M
1884.2610306587746,8,M
1953.1292820492722,207,M
1996.266039132013,633,M
1873.275977521935,238,M
1949.5697541802463,28,M
1991.78842781059,88,M
1976.8741591424127,111,M
1116.0656500632035,22,M
1624.944297222788,36,M
1413.3035276277524,25,M
1636.14551448737,10,M
1423.9850456165404,10,M
1912.1101866069334,491,M
1073.7517712260083,15,M
1991.6245780596157,185,M
1797.8795497314609,99,M
1964.8139388194593,256,M
1962.590988346734,306,M
1918.9832983202261,20,M
1146.6512913568288,14,M
1954.6916550441845,122,M
761.6256675385109,20,M
1550.559554570447,17,M
683.2476193543492,2,M
1652.3548355379091,613,M
16.384853275300756,19,M
1906.6092744218035,345,M
1470.8554436575143,6,M
1875.619700737109,11,M
1956.4522853625397,311,M
1932.758055780818,24,M
